Credit Cards,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Suntrust and AmEx,,,,,,,,,Acct,,,,,,,,,,,1/18/14,$177.84 extra here than AmEx balance; reduced expenses by that much and put in comments tab.
,Description,Amount,Paid,Leftover,Card,Responsible,How to pay?,,B,J9,Joint,Vacation,Emergency,Savings,TBD,,Split,Total,,,
1,Savannah trip (8/3),$16.16 ,$16.16 ,$0.00 ,Suntrust,TBD,Savannah,,$0.62 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$175.51 ,,#REF!,$176.13 ,,,
2,Wet Willies (8/3),$8.00 ,$8.00 ,$0.00 ,Suntrust,TBD,Savannah,,,,,,,,,,#REF!,,,,
3,Wet Willies (8/3),$10.00 ,$10.00 ,$0.00 ,Suntrust,TBD,Savannah,,,,,,,,,,#REF!,,,,
4,Bayou Cafe (8/3),$62.00 ,$62.00 ,$0.00 ,Suntrust,TBD,Savannah,,,,,,,,,,#REF!,,,,
5,Racetrac (8/3),$35.00 ,$35.00 ,$0.00 ,Suntrust,TBD,Savannah,,Cards,,,,,,,,#REF!,,,,
6,Bojangles (8/3),$13.54 ,$13.54 ,$0.00 ,Suntrust,TBD,Savannah,,AmEx,Suntrust,,,,,,,,,,,
7,Broughton Street Market (8/3),$5.34 ,$5.34 ,$0.00 ,Suntrust,TBD,Savannah,,"$3,362.86 ","$4,561.73 ",Total Spent on Card,,,,,,,,,,
8,Parkers #19 (8/3),$10.69 ,$0.00 ,$10.69 ,Suntrust,TBD,Savannah,,"$1,696.36 ",$150.04 ,Total Paid on Card,,,,,,,,,,
9,Savannah Candy Kitchen (8/3),$19.44 ,$0.00 ,$19.44 ,Suntrust,TBD,Savannah,,"$1,666.50 ","$4,411.69 ",Total Leftover on Card,,,7200,,,,3501.06,,,
10,Exxon (8/4),$30.50 ,$0.00 ,$30.50 ,Suntrust,TBD,Savannah,,,,,,,,,,,3700,,,
11,J Christophers (8/4),$65.80 ,$0.00 ,$65.80 ,Suntrust,TBD,Savannah,,6-Nov,12-Nov,NEXT PAYMENT DUE,,,,,,,,,,
12,Mai Thai (8/4),$34.08 ,$0.00 ,$34.08 ,Suntrust,TBD,Savannah,,"$1,641.46 ",$122.00 ,Amount Due,,,,,,,,,,
13,Late fee (9/12),$15.00 ,$0.00 ,$15.00 ,Suntrust,TBD,,,($54.90),($28.04),Amount Needed,,,,,,,,,,
14,Macy's (9/13),$0.62 ,$0.00 ,$0.62 ,Suntrust,Brandon,,,,,,,,,,,,,,,
15,VTA Frias (9/20),$2.22 ,$2.22 ,$0.00 ,AmEx,,Las Vegas,,Payment Plan,,,,,,,,,,,,
16,iTunes (9/20),$1.99 ,$1.99 ,$0.00 ,AmEx,,,,,Brandon,Jeanine,Joint,Vacation,Emergency,Savings,Misc,SUM,,,,
17,Google Play (9/20),$6.36 ,$6.36 ,$0.00 ,AmEx,,,,AmEx,($53.49),,"($1,642.87)",,,,,"($1,696.36)",15-Jan,,,
18,MGM Wet Republic (9/20),$42.92 ,$42.92 ,$0.00 ,AmEx,,Las Vegas,,Suntrust,,,($150.04),,,,,($150.04),15-Jan,,,
19,Interest charge (9/15),$5.87 ,$0.00 ,$5.87 ,Suntrust,,,,AmEx,,,,,,,,$0.00 ,1-Feb,,,
20,Yolos Dining Vegas (9/21),$66.00 ,$0.00 ,$66.00 ,Suntrust,,Las Vegas,,Suntrust,,,,,,,,$0.00 ,1-Feb,,#REF!,
21,Starbucks Vegas (9/22),$5.50 ,$0.00 ,$5.50 ,Suntrust,,Las Vegas,,AmEx,,,,,,,,$0.00 ,15-Feb,,,
22,Spirit Airlines (9/22),$50.00 ,$0.00 ,$50.00 ,Suntrust,,Las Vegas,,Suntrust,,,,,,,,$0.00 ,15-Feb,,,
23,Five Guys (9/22),$5.80 ,$0.00 ,$5.80 ,Suntrust,,,,AmEx,,,,,,,,$0.00 ,1-Mar,,,
24,ATL Parking (9/23),$51.00 ,$0.00 ,$51.00 ,Suntrust,,Las Vegas,,Suntrust,,,,,,,,$0.00 ,1-Mar,,,
25,PSN (9/29),$17.99 ,$0.00 ,$17.99 ,AmEx,,,,,,,,,,,,,,,,
26,Paypal (9/29),$63.13 ,$0.00 ,$63.13 ,AmEx,,,,AmEx,$0.00 ,$0.00 ,($150.04),$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,
27,Pappadeaux (10/16),$51.78 ,$0.00 ,$51.78 ,AmEx,,,,Suntrust,$0.00 ,$0.00 ,($150.04),$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,
28,Treehouse (10/16),$25.00 ,$0.00 ,$25.00 ,AmEx,,,,,,,,,,,,,,,,
29,ElevenAtlanta (10/16),$28.31 ,$0.00 ,$28.31 ,AmEx,,,,,,,,,,,,,,,,
30,ElevenAtlanta (10/16),$25.90 ,$0.00 ,$25.90 ,AmEx,,,,,Sun running,AmEx Running,,,,,,,,,,
31,ElevenAtlanta (10/16),$14.87 ,$0.00 ,$14.87 ,AmEx,,,,"$6,078.19 ","$4,411.69 ","$1,666.50 ",,,,,,,,,,
32,Firehose Project (10/6),$500.00 ,$0.00 ,$500.00 ,Suntrust,,,,,Sun running,AmEx Running,,,,,,,,,,
33,Firehose Project (10/6),"$3,500.00 ",$0.00 ,"$3,500.00 ",Suntrust,,,,"$6,078.19 ","$4,411.69 ","$1,666.50 ",,,,,,,,,,
34,Late fee (10/12),$25.00 ,$0.00 ,$25.00 ,Suntrust,,,,,Sun running,AmEx Running,,,,,,,,,,
35,Interest charge (10/15),$26.39 ,$0.00 ,$26.39 ,Suntrust,,,,"$6,078.19 ","$4,411.69 ","$1,666.50 ",,,,,,,,,,
36,Audible (10/19),$14.95 ,$0.00 ,$14.95 ,AmEx,,,,,Sun running,AmEx Running,,,,,,,,,,
37,Dominos (10/22),$12.42 ,$0.00 ,$12.42 ,AmEx,,,,"$6,078.19 ","$4,411.69 ","$1,666.50 ",,,,,,,,,,
38,Microsoft HUP (10/21),$9.95 ,$0.00 ,$9.95 ,AmEx,,,,,,,,,,,,,,,,
39,Uber (10/30),$26.51 ,$0.00 ,$26.51 ,AmEx,,,,,,,,,,,,,,,,
40,Uber (10/30),$24.11 ,$0.00 ,$24.11 ,AmEx,,,,,,,,,,,,,,,,
41,Studio Movie Grill (10/30),$18.14 ,$0.00 ,$18.14 ,AmEx,,,,,,,,,,,,,,,,
42,Pizza Hut (10/31),$19.90 ,$0.00 ,$19.90 ,AmEx,,,,,,,,,,,,,,,,
43,Uber (11/8),$42.01 ,$0.00 ,$42.01 ,AmEx,,,,,,,,,,,,,,,,
44,Paypal for Amy (11/10),$20.88 ,$0.00 ,$20.88 ,AmEx,,,,,,,,,,,,,,,,
45,Verizon Wireless (11/14),$24.18 ,$0.00 ,$24.18 ,AmEx,,,,,,,,,,,,,,,,
46,Sports One (11/14),$25.00 ,$0.00 ,$25.00 ,AmEx,,,,,,,,,,,,,,,,
47,Greensboro Travel Center (11/14),$45.00 ,$0.00 ,$45.00 ,AmEx,,,,,,,,,,,,,,,,
48,ABC store (11/14),$41.68 ,$0.00 ,$41.68 ,AmEx,,,,,,,,,,,,,,,,
49,Treehouse (11/16),$25.00 ,$0.00 ,$25.00 ,AmEx,,,,,,,,,,,,,,,,
50,BP (11/16),$46.63 ,$0.00 ,$46.63 ,AmEx,,,,,,,,,,,,,,,,
51,Audible (11/19),$14.95 ,$0.00 ,$14.95 ,AmEx,,,,,,,,,,,,,,,,
52,Late Fee (11/20),$27.00 ,$0.00 ,$27.00 ,AmEx,,,,,,,,,,,,,,,,
53,Suite (11/22),$38.40 ,$0.00 ,$38.40 ,AmEx,,,,,,,,,,,,,,,,
54,Suite (11/22),$29.00 ,$0.00 ,$29.00 ,AmEx,,,,,,,,,,,,,,,,
55,Suite (11/22),$21.60 ,$0.00 ,$21.60 ,AmEx,,,,,,,,,,,,,,,,
56,Suite (11/22),$14.00 ,$0.00 ,$14.00 ,AmEx,,,,,,,,,,,,,,,,
57,Suite (11/22),$6.00 ,$0.00 ,$6.00 ,AmEx,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,
59,Xbox Live (12/4),$59.99 ,$0.00 ,$59.99 ,AmEx,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,
63,ADT (12/9),$52.78 ,$52.78 ,$0.00 ,AmEx,,,,,,,,,,,,,,,,
64,Walmart (12/11),$72.36 ,$0.00 ,$72.36 ,AmEx,,,,,,,,,,,,,,,,
65,Verizon Wireless (12/14),$199.86 ,$199.86 ,$0.00 ,AmEx,,,,,,,,,,,,,,,,
66,Amazon (12/14),$0.99 ,$0.00 ,$0.99 ,AmEx,,,,,,,,,,,,,,,,
67,Dominos (12/19),$25.17 ,$0.00 ,$25.17 ,AmEx,,,,,,,,,,,,,,,,
68,Audible (12/19),$14.95 ,$0.00 ,$14.95 ,AmEx,,,,,,,,,,,,,,,,
69,LA Fitness (12/20),$280.00 ,$280.00 ,$0.00 ,AmEx,,,,,,,,,,,,,,,,
70,Gas South (12/21),$107.58 ,$107.58 ,$0.00 ,AmEx,,,,,,,,,,,,,,,,
71,Walmart (12/22),$212.93 ,$212.93 ,$0.00 ,AmEx,,,,,,,,,,,,,,,,
72,Amazon (12/22),$28.00 ,$0.00 ,$28.00 ,AmEx,,,,,,,,,,,,,,,,
73,Bath and Body Works (12/24),$75.97 ,$0.00 ,$75.97 ,AmEx,,,,,,,,,,,,,,,,
74,LA Fitness (12/28),$44.90 ,$44.90 ,$0.00 ,AmEx,,,,,,,,,,,,,,,,
75,Amazon Services (12/28),$2.99 ,$0.00 ,$2.99 ,AmEx,,,,,,,,,,,,,,,,
76,PSN (12/29),$17.99 ,$0.00 ,$17.99 ,AmEx,,,,,,,,,,,,,,,,
77,Microsoft (12/30),$10.00 ,$0.00 ,$10.00 ,AmEx,,,,,,,,,,,,,,,,
78,DirecTV (1/1),$505.74 ,$250.00 ,$255.74 ,AmEx,,,,,,,,,,,,,,,,
79,Mandarin Palace (1/3),$40.40 ,$0.00 ,$40.40 ,AmEx,,,,,,,,,,,,,,,,
80,Mom365 (1/8),$187.25 ,$0.00 ,$187.25 ,AmEx,,,,,,,,,,,,,,,,
81,ADT (1/9),$52.78 ,$52.78 ,$0.00 ,AmEx,,,,,,,,,,,,,,,,
82,Monthly Clubs (1/11),$47.95 ,$0.00 ,$47.95 ,AmEx,,,,,,,,,,,,,,,,
83,Comcast (1/13),$241.64 ,$241.64 ,$0.00 ,AmEx,,,,,,,,,,,,,,,,
84,Verizon Wireless (1/14),$200.40 ,$200.40 ,$0.00 ,AmEx,,,,,,,,,,,,,,,,
85,Amazon (1/14),$37.51 ,$0.00 ,$37.51 ,AmEx,,,,,,,,,,,,,,,,
86,Audible (1/19),$14.95 ,$0.00 ,$14.95 ,AmEx,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,$210.67 ,$150.04 ,$60.63 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,